experiment,model_name,conv_filters,dropout_rate,kernel_sizes,pooling_type,test_macro_f1,type,validation_macro_f1,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image
init_rnn_layers3_hidden4_keras_beam3_maxlen20,init_rnn_layers3_hidden4,,,,,,Captioning,,keras,beam,3,20,38,0.0,0.0,50,1024,4.256949583001187,0.08513899166002376
init_rnn_layers3_hidden4_keras_beam5_maxlen20,init_rnn_layers3_hidden4,,,,,,Captioning,,keras,beam,5,20,38,0.0,0.0,50,1024,,
rnn_layers1_hidden2_keras_greedy_maxlen20,rnn_layers1_hidden2,,,,,,Captioning,,keras,greedy,,20,38,0.06910227510413736,0.2049037373438333,50,1024,1.357601791009074,0.027152035820181483
rnn_layers1_hidden2_keras_beam3_maxlen20,rnn_layers1_hidden2,,,,,,Captioning,,keras,beam,3,20,38,0.06910227510413736,0.2049037373438333,50,1024,85.5911116250063,1.7118222325001262
rnn_layers1_hidden2_keras_beam5_maxlen20,rnn_layers1_hidden2,,,,,,Captioning,,keras,beam,5,20,38,0.06910227510413736,0.2049037373438333,50,1024,94.81988208300027,1.8963976416600052
rnn_layers1_hidden4_keras_greedy_maxlen20,rnn_layers1_hidden4,,,,,,Captioning,,keras,greedy,,20,38,0.0,0.0,50,1024,0.1869420830043964,0.003738841660087928
rnn_layers1_hidden4_keras_beam3_maxlen20,rnn_layers1_hidden4,,,,,,Captioning,,keras,beam,3,20,38,0.0,0.0,50,1024,4.560912333996384,0.09121824667992769
rnn_layers1_hidden4_keras_beam5_maxlen20,rnn_layers1_hidden4,,,,,,Captioning,,keras,beam,5,20,38,0.0,0.0,50,1024,5.0700904590012215,0.10140180918002444
rnn_layers2_hidden2_keras_greedy_maxlen20,rnn_layers2_hidden2,,,,,,Captioning,,keras,greedy,,20,38,0.0,0.0,50,1024,0.24271399999270216,0.004854279999854043
rnn_layers2_hidden2_keras_beam3_maxlen20,rnn_layers2_hidden2,,,,,,Captioning,,keras,beam,3,20,38,0.0,0.0,50,1024,4.629352250005468,0.09258704500010935
